vic_loca_2,num_of_liquor_shops
RICHMOND NORTH,2
RIDDELLS CREEK,10
RINGWOOD,94
RINGWOOD EAST,26
RINGWOOD NORTH,13
RIPPLESIDE,2
RIPPONLEA,18
ROBINVALE,10
ROCHESTER,14
ROCKBANK,11
ROKEWOOD,4
ROMSEY,17
ROSANNA,17
ROSEBUD,50
ROSEBUD SOUTH,1
ROSEBUD WEST,10
ROSEDALE,12
ROSEWHITE,1
ROSEWHITE VIA MYRTLEFORD,1
ROSS CREEK,2
ROWVILLE,47
ROXBURGH PARK,10
RUFFY,1
RUPANYUP,5
RUSHWORTH,10
RUSSELL BRIDGE,1
RUTHERGLEN,46
RYE,37
SAFETY BEACH,11
SAILORS FALL,1
SAILORS FALLS,1
SALE,64
SAN REMO,13
SANCTUARY LAKES,1
SANDFORD,1
SANDHURST,1
SANDON,1
SANDOWN,1
SANDRINGHAM,46
SANDY POINT,3
SARSFIELD,1
SASSAFRAS,16
SCARSDALE,2
SCORESBY,18
SCOTSBURN,2
SEA LAKE,10
SEABROOK,3
SEAFORD,42
SEAHOLME,3
SEASPRAY,3
SEAVIEW,1
SEBASTOPOL,13
SEDDON,29
SEDGWICK,1
SELBY,1
SERPENTINE,4
SERVICETON,3
SEVILLE,20
SEVILLE EAST,1
SEYMOUR,33
SHAYS FLAT,1
SHEEP HILLS,1
SHELFORD,1
SHEPHERDS FLAT,2
SHEPPARTON,122
SHEPPARTON EAST,5
SHEPPARTON SOUTH,2
SHERBROOKE,6
SHOREHAM,11
SILVAN,6
SILVAN SOUTH,1
SILVERLEAVES,2
SIMPSON,4
SKENES CREEK,2
SKIPTON,3
SKYE,3
SMEATON,3
SMITHS BEACH,1
SMITHS GULLY,3
SMYTHES CREEK,8
SMYTHESDALE,3
SNAKE VALLEY,3
SOLDIERS HILL,3
SOMERS,6
SOMERTON,1
SOMERVILLE,27
SORRENTO,34
SOUTH BALLARAT,1
SOUTH CAULFIELD,2
SOUTH GEELONG,4
SOUTH KINGSVILLE,6
SOUTH MELBOURNE,184
SOUTH MORANG,25
SOUTH MUCKLEFORD,1
SOUTH OAKLEIGH,1
SOUTH WARRANDYTE,2
SOUTH WHARF,20
